top - 18:12:18 up 16 min,  1 user,  load average: 0,36, 0,13, 0,11
Tasks: 232 total,   1 running, 231 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0,0 us,  0,0 sy,  0,0 ni,100,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   4160,9 total,   2298,3 free,    795,1 used,   1067,6 buff/cache
MiB Swap:   2048,0 total,   2048,0 free,      0,0 used.   3074,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    177 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kthrotld
    178 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 acpi_thermal_pm
    179 root      20   0       0      0      0 S   0,0   0,0   0:00.01 scsi_eh_0
    180 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tmf_0
    181 root      20   0       0      0      0 S   0,0   0,0   0:00.01 scsi_eh_1
    182 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tmf_1
    184 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 vfio-irqfd-clea
    186 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/7:1-events
    187 root       0 -20       0      0      0 I   0,0   0,0   0:00.09 kworker/3:1H-kblockd
    188 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ipv6_addrconf
    199 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kstrp
    203 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/u17:0
    219 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 charger_manager
    241 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker/6:1-cgroup_destroy
    270 root      20   0       0      0      0 I   0,0   0,0   0:00.01 kworker/3:2-events
    280 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh_2
    281 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 scsi_tmf_2
    282 root      20   0       0      0      0 I   0,0   0,0   0:00.04 kworker/2:2-mm_percpu_wq
    284 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/2:1H-kblockd
    286 root       0 -20       0      0      0 I   0,0   0,0   0:00.08 kworker/0:1H-kblockd
    304 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/7:1H-kblockd
    306 root       0 -20       0      0      0 I   0,0   0,0   0:00.06 kworker/1:1H-kblockd
    307 root      20   0       0      0      0 S   0,0   0,0   0:00.00 jbd2/sda6-8
    308 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 ext4-rsv-conver
    309 root       0 -20       0      0      0 I   0,0   0,0   0:00.25 kworker/6:1H-kblockd
    318 root       0 -20       0      0      0 I   0,0   0,0   0:00.01 kworker/4:1H-kblockd
    322 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/6:2-events
